m	L2error	CV	FCV
3.0	0.06019683687524176	0.0036772268263713715	0.0036772409120086466
3.0	0.06019683687524176	0.0036772268263713715	0.0036772409120086466
3.0	0.06019683687524176	0.0036772268263713715	0.0036772409120086466
3.0	0.06019683687524176	0.0036772268263713715	0.0036772409120086466
3.0	0.06019683687524176	0.0036772268263713715	0.0036772409120086466
3.0	0.06019683687524176	0.0036772268263713715	0.0036772409120086466
3.0	0.06019683687524176	0.0036772268263713715	0.0036772409120086466
3.0	0.06019683687524176	0.0036772268263713715	0.0036772409120086466
3.0	0.06019683687524176	0.0036772268263713715	0.0036772409120086466
3.0	0.06019683687524176	0.0036772268263713715	0.0036772409120086466
5.0	0.06023189778356554	0.0036781597455341573	0.0036782174272330624
5.0	0.06023189778356554	0.0036781597455341573	0.0036782174272330624
5.0	0.06023189778356554	0.0036781597455341573	0.0036782174272330624
5.0	0.06023189778356554	0.0036781597455341573	0.0036782174272330624
5.0	0.06023189778356554	0.0036781597455341573	0.0036782174272330624
5.0	0.06023189778356554	0.0036781597455341573	0.0036782174272330624
7.0	0.02399250067608483	0.0005912215819821229	0.0005912599190992318
7.0	0.02399250067608483	0.0005912215819821229	0.0005912599190992318
7.0	0.02399250067608483	0.0005912215819821229	0.0005912599190992318
7.0	0.02399250067608483	0.0005912215819821229	0.0005912599190992318
9.0	0.023994388958529313	0.0005919001447444581	0.0005919601854102852
9.0	0.023994388958529313	0.0005919001447444581	0.0005919601854102852
9.0	0.023994388958529313	0.0005919001447444581	0.0005919601854102852
11.0	0.01344119671248944	0.00019440717423406073	0.00019444153089410532
11.0	0.01344119671248944	0.00019440717423406073	0.00019444153089410532
13.0	0.013443882970466881	0.00019459238984607046	0.00019463479308477432
13.0	0.013443882970466881	0.00019459238984607046	0.00019463479308477432
13.0	0.013443882970466881	0.00019459238984607046	0.00019463479308477432
15.0	0.008837297845325946	9.088060566662686e-5	9.090628577500655e-5
17.0	0.008840239993814945	9.094976971518707e-5	9.097774047649499e-5
17.0	0.008840239993814945	9.094976971518707e-5	9.097774047649499e-5
19.0	0.006368109192039502	5.023249089374575e-5	5.024947509070888e-5
19.0	0.006368109192039502	5.023249089374575e-5	5.024947509070888e-5
21.0	0.006369912872511145	5.026677467989641e-5	5.02844528373575e-5
23.0	0.004859616075592839	3.2326320892069185e-5	3.2338272011109974e-5
25.0	0.004861452598205814	3.2351044093720654e-5	3.236375064904041e-5
27.0	0.003864027079490043	2.2862957474106492e-5	2.2872051165164293e-5
29.0	0.0038663911367323527	2.287484176909985e-5	2.288439070509554e-5
31.0	0.0031746220526686604	1.745933206963752e-5	1.7466110751495636e-5
33.0	0.0031765755775477536	1.7468709746224824e-5	1.747583352942227e-5
35.0	0.002681533090456622	1.4072672135719305e-5	1.4077842121154401e-5
37.0	0.0026820736401389693	1.408743415541988e-5	1.409276480382924e-5
41.0	0.0023032075720023815	1.1873572175499278e-5	1.1878162547387672e-5
43.0	0.0019974262546681894	1.0390363784323502e-5	1.0394360839928965e-5
47.0	0.0017647598095077296	9.525210956667173e-6	9.528522132547833e-6
51.0	0.0015737986711081952	8.835588239254865e-6	8.83857345635576e-6
55.0	0.0014250441048297472	8.22131246690447e-6	8.224370036418292e-6
59.0	0.001299763555372477	7.90694404992817e-6	7.909993643489088e-6
63.0	0.0011864297658566113	7.652936259704624e-6	7.655771599577855e-6
67.0	0.001102025426042725	7.310417704550587e-6	7.312891052859093e-6
73.0	0.0010327930033515401	7.103711910091095e-6	7.106462127391432e-6
77.0	0.000973807674642994	6.886114203013725e-6	6.88888802697944e-6
83.0	0.0008700256374848736	6.742612478742309e-6	6.745209325039984e-6
89.0	0.000859951582017068	6.659569226973956e-6	6.661774374741174e-6
97.0	0.0008003618753518413	6.53952277233853e-6	6.5415554338038e-6
103.0	0.0007453100439964287	6.423371419825182e-6	6.425416059181621e-6
111.0	0.0007102218850481952	6.384262079595184e-6	6.386290672062367e-6
119.0	0.0006751096986014744	6.376960964650607e-6	6.3789618634591415e-6
129.0	0.0006587021617364653	6.356353441073994e-6	6.3586049930009396e-6
137.0	0.0006393799140669522	6.348506625664134e-6	6.35011846372541e-6
