m	L2error_t	L2error_a	CV	FCV
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.951668532198e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.95166853220274e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.9516685322075e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.95166853221223e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.95166853221697e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.9516685322217e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.95166853222646e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.9516685322312e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.95166853223595e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.9516685322407e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.95166853224543e-310	2.289574342085892e-5
32.0	2.1862455093620437e-5	1.3288300380978004e-9	6.95166853225017e-310	2.289574342085892e-5
112.0	1.2335918431662573e-5	1.8355471406936677e-9	6.9516685322549e-310	1.3321243247467997e-5
112.0	1.2335918431662573e-5	1.8355471406936677e-9	6.95166853225966e-310	1.3321243247467997e-5
112.0	1.2335918431662573e-5	1.8355471406936677e-9	6.9516685322644e-310	1.3321243247467997e-5
192.0	2.469303232381214e-7	3.0522981972669437e-10	6.95166853226915e-310	1.199991008725489e-6
192.0	2.469303232381214e-7	3.0522981972669437e-10	6.9516685322739e-310	1.199991008725489e-6
192.0	2.469303232381214e-7	3.0522981972669437e-10	6.95166853227863e-310	1.199991008725489e-6
272.0	1.843968338245596e-7	4.195570769038589e-10	6.9516685322834e-310	1.1390591164959896e-6
272.0	1.843968338245596e-7	4.195570769038589e-10	6.9516685322881e-310	1.1390591164959896e-6
352.0	1.7376964310013288e-7	4.925687105498044e-10	6.95166853229286e-310	1.1280496352100737e-6
432.0	1.6961645289605837e-7	5.933831091366226e-10	6.9516685322976e-310	1.1238504121309793e-6
512.0	1.296382702894571e-7	6.983837089849405e-10	6.95166853230235e-310	1.0837110609608363e-6
672.0	1.0489904888602228e-7	8.218388075033108e-10	6.9516685323071e-310	1.058625482433078e-6
752.0	1.0466370609714566e-7	9.09073106741773e-10	6.95166853231183e-310	1.0585387850162828e-6
832.0	1.0450731342836507e-7	9.88645015279173e-10	6.9516685323166e-310	1.0585091064888177e-6
1152.0	4.105978400445638e-8	1.1699534231247176e-9	6.9516685323213e-310	9.945477222551287e-7
1312.0	4.1017524671704483e-8	1.343923316879705e-9	6.95166853232606e-310	9.946344225154309e-7
1472.0	4.068480973233764e-8	1.532276960659339e-9	6.9516685323308e-310	9.943521708990659e-7
1792.0	4.036010541486751e-8	1.8312716807229894e-9	6.95166853233555e-310	9.94331874914092e-7
2112.0	1.4839206315554049e-9	2.0036132106396227e-9	6.9516685323403e-310	9.555544914540312e-7
2512.0	1.4050807926012376e-9	2.3560988485900415e-9	6.95166853234503e-310	9.558938129947746e-7
2912.0	1.3745382583876808e-9	2.7344889126847984e-9	6.9516685323498e-310	9.562629298731118e-7
3632.0	7.664712213441977e-10	3.390205319948567e-9	6.9516685323545e-310	9.563589630818865e-7
4312.0	6.625223533847369e-10	4.076845892912639e-9	6.95166853235926e-310	9.568636033568324e-7
5032.0	6.592161786063422e-10	4.74122530689205e-9	6.951668532364e-310	9.575919925369574e-7
5832.0	6.309058171727333e-10	5.553308621817843e-9	6.95166853236875e-310	9.583074269189505e-7
7032.0	3.619866249197218e-10	6.725392357561848e-9	6.9516685323735e-310	9.591794627352978e-7
8272.0	2.414574380282114e-10	7.876395475615289e-9	6.95166853237824e-310	9.60321592115816e-7
9792.0	2.3678401860766085e-10	9.309759730268252e-9	6.951668532383e-310	9.618883057486133e-7
11912.0	2.2056483722776576e-10	1.1495867401619082e-8	6.9516685323877e-310	9.638946561596855e-7
13872.0	7.241492106478675e-11	1.3523511069499797e-8	6.95166853239247e-310	9.6564351366298e-7
