m	M	n	nu	E_trun	E_full	E_s	E_rand	T_full	T_s_setup	T_s_lsqr	T_rand_setup	T_rand_lsqr
11.0	11.0	26.0	9.0	0.39581899538277165	0.29232028130065396	0.3546924259639688	5.020712617599976	0.419600302	0.120164224	0.782286641	0.107850722	0.043824455
61.0	127.0	251.0	108.0	0.13571429812848912	0.044682953862831505	0.09673190708791106	0.1369059562425099	0.000248459	7.0436e-5	0.006604087	0.000506692	0.001187012
71.0	167.0	303.0	141.0	0.13401381834586734	0.047219728793096716	0.08799659559938786	0.1486669634296319	0.001584394	0.00010113	0.032112166	0.001541695	0.00105441
241.0	461.0	1322.0	425.0	0.03295584769072035	0.009076390627605657	0.020739931872398924	0.03520096708411129	0.001221601	0.000115927	0.026553504	0.007229829	0.001463811
341.0	919.0	1989.0	812.0	0.03071137159702031	0.004213395370384891	0.011242980315985703	0.024310329434987905	0.001210836	0.000164926	0.033462066	0.100543438	0.004024991
351.0	967.0	2057.0	854.0	0.03065380734439027	0.005017928520018657	0.010884279847868541	0.021900628473314775	0.000895721	0.000175151	0.019729854	0.028330061	0.003669552
901.0	6353.0	6130.0	3883.0	0.006355827369248002	0.00020619810793688365	0.0016093654010648573	0.0017384493302816824	0.002457355	0.000485599	0.060660096	0.244133993	0.065160706
1331.0	13859.0	9575.0	6919.0	0.005108390285198494	7.351503304776344e-5	0.0009849003721295008	0.0012422897658055346	0.004431651	0.000637355	0.103491562	0.839186357	0.192542388
2573.0	25889.0	20205.0	14021.0	0.0011692458529170002	8.392061287098574e-6	0.00018728678268261178	0.0002533490545053507	0.006088212	0.001746849	0.143659383	2.894188311	1.171568301
3103.0	37633.0	24949.0	18228.0	0.0010973912787034523	8.690388000541501e-6	0.00017067605817344146	0.0002261340139618266	0.008843443	0.002374281	0.207746339	4.146933896	1.521927059
5103.0	50873.0	43567.0	29394.0	0.0006884544573697582	1.5882613301852166e-5	0.00010741831776839365	0.00014828330499671457	0.014514469	0.003911932	0.327684026	10.16422036	4.466938327
9323.0	339557.0	85214.0	75417.0	0.00019413179688210214	6.69846018426661e-7	2.4924464814505923e-5	2.70752414946052e-5	0.085691684	0.012163228	2.017475342	46.636063173	19.582788018
13983.0	381911.0	133476.0	112751.0	0.0001107670194148147	3.188085952668754e-7	1.3470772841877457e-5	1.5600392343821453e-5	0.081286592	0.018682866	1.944754901	105.179129307	38.914422154
23483.0	1.077079e6	236334.0	212083.0	4.284482769179032e-5	4.140779289493438e-8	4.7243992878639995e-6	5.3296091784167815e-6	0.240979356	0.038618954	7.740008326	335.852068982	130.133813602
37693.0	2.774953e6	397180.0	369919.0	1.934705031980677e-5	1.941729830554409e-8	2.0632041537058577e-6	0.0	0.851916351	0.086621025	20.004067334	0.0	0.0
56053.0	3.068311e6	612886.0	555730.0	1.1077830153749524e-5	8.724695019939181e-9	1.1173223461599637e-6	0.0	0.934780871	0.111712908	24.76444128	0.0	0.0
82613.0	6.664961e6	935338.0	872315.0	4.980972598489508e-6	2.616775074509124e-9	4.91409054474229e-7	0.0	1.361172872	0.201466767	34.988858186	0.0	0.0
126103.0	1.5529303e7	1.481061e6	1.412602e6	2.4496661271689035e-6	3.287809759619396e-10	2.2765619423783375e-7	0.0	6.481461039	0.405382804	156.408179834	0.0	0.0
192793.0	3.6298021e7	2.34617e6	2.272241e6	1.0981626883399542e-6	1.7639949871322437e-10	9.913602808029883e-8	0.0	18.942406704	1.00354183	408.662030407	0.0	0.0
294213.0	8.4532541e7	3.704748e6	3.624967e6	5.200544089811743e-7	1.2305995167849372e-11	4.542927281155658e-8	0.0	25.287383856	2.517532232	601.643360669	0.0	0.0
439925.0	9.4499047e7	5.716544e6	5.546804e6	2.4448555058231847e-7	3.93890322956303e-11	2.053290800858493e-8	0.0	46.794720009	3.004863711	1061.443257012	0.0	0.0
663215.0	2.14772617e8	8.890301e6	8.708701e6	1.0762489988103141e-7	1.3360262802499444e-11	8.732930523618808e-9	0.0	64.184469589	5.290646219	1551.508454725	0.0	0.0
1.002145e6	4.90378249e8	1.3847292e7	1.3653649e7	4.886680471383187e-8	2.0379555633548033e-12	3.843392326138539e-9	0.0	241.795363202	10.72292315	5692.15883429	0.0	0.0
